City,Population,Classification,Political Stance
Milton,132979,large,Liberal
McCreary,748,rural,Conservative
Stoney Creek,112028,large,Conservative
Midhurst,21701,small,Conservative
Thornhill,115292,large,Conservative
Yellowknife,20340,small,Liberal
Terrebonne,119944,large,Bloc
Scoudouc,1000,small,Liberal
Lunenburg,2396,small,Conservative
Minnedosa,2741,small,Conservative
Châteauguay,50815,medium,Liberal
Quispamsis,18768,small,Conservative
Alliston,23253,small,Conservative
Brantford,104688,large,Conservative
Mont-Saint-Hilaire,18859,small,Bloc
Markdale,10424,small,Conservative
Dundas,4332,small,Liberal
Alma,282,rural,Conservative
Kenora,14967,small,Conservative
Lachine,119395,large,Liberal
100 Mile House,1928,small,Conservative
Orangeville,30167,medium,Conservative
Sydney,29904,small,Liberal
Rankin Inlet,2842,small,NDP
Cold Lake,14961,small,Conservative
Sainte-Julie,30045,medium,Bloc
Nisku,14416,small,Conservative
Sturgeon County,20061,small,Conservative
Rocky View,41028,medium,Conservative
Sherwood Park,72017,medium,Conservative
Portage la Prairie,6888,small,Conservative
Sarnia,13270,small,Conservative
Coaldale,8771,small,Conservative
Lloydminster,11843,small,Conservative
Innisfail,7985,small,Conservative
Warwick,3641,small,Conservative
Hinton,9191,small,Conservative
Sylvan Lake,16514,small,Conservative
High River,14324,small,Conservative
Copenhagen,9308,small,Conservative
Slave Lake,6836,small,Conservative
Gibraltar,9390,small,Conservative
Whistler,9974,small,Liberal
Cochrane,32199,medium,Conservative
Redwater,1802,small,Conservative
Simcoe,533169,large,Conservative
Solina,101427,large,Conservative
Hamburg,5819,small,Conservative
Revelstoke,7709,small,Conservative
Hanover,7967,small,Conservative
Fernie,6320,small,Conservative
Esterhazy,2345,small,Conservative
Snow Lake,1088,small,NDP
Whitecourt,9195,small,Conservative
Qikiqtarjuaq,593,rural,NDP
Dryden,7388,small,Conservative
"Engineer, BC",424,rural,NDP
Rockwood,5488,small,Conservative
Strathmore,14339,small,Conservative
Chipman,1201,small,Conservative
Richibucto,1411,small,Liberal
Maple Ridge,90990,medium,Conservative
Mary River,5400,small,NDP
Lanigan,1433,small,Conservative
Port Alberni,25786,small,NDP
Cobalt,989,rural,Liberal
Kingsville,22119,small,Conservative
Lévis,149683,large,Conservative
Whiteshell,1380,small,Conservative
Madoc,2233,small,Conservative
Belle Plaine,79,rural,Conservative
Chandler,7490,small,Liberal
Grand Falls,1077,small,Conservative
Parksville,31054,medium,NDP
